route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12,13,1,Chamorra,0,,17481
35,11,2,Centro,1,,19442
14,21,3,Centro,1,,13082
14,21,4,Trapiche,0,,13081
14,21,5,Centro,1,,13082
14,21,6,Trapiche,0,,13081
48,11,7,Centro,1,,14402
12,13,8,Centro,1,,17488
14,21,9,Centro,1,,13082
14,21,10,Trapiche,0,,13081
14,21,11,Centro,1,,13082
13,21,12,Chamorra Barreira,0,,19941
13,21,13,Centro,1,,19942
11,21,14,Centro,1,,14022
11,21,15,Courelas,0,,14021
16,13,16,Jamboto-Courelas Via Viveiros,0,,19741
13,11,17,Chamorra Barreira,0,,19951
55,11,18,Centro,1,,20062
48,11,19,ZN Industrial,0,,14401
75,21,20,Centro,1,,12702
59,21,21,Fundoa,0,,19521
75,21,22,Álamos - V. Achada,0,,12701
55,21,23,Ribeira Grande,0,,20061
13,21,24,Centro,1,,19952
76,21,25,Papagaio Verde,0,,20161
76,21,26,Centro - D. Carlos I,1,,20162
76,21,27,Papagaio Verde,0,,20161
76,21,28,Centro - D. Carlos I,1,,20162
16,13,29,Centro,1,,19384
59,11,30,Fundoa,0,,19523
48,11,31,Centro,1,,14402
50,11,32,Quinta da Rocha S. Gonçalo,0,,18121
50,13,33,Centro,1,,18124
50,11,34,Centro,1,,18122
59,11,35,Universidade - Fundoa,0,,20043
51,11,36,Centro,1,,20024
59,11,37,Universidade - Fundoa,0,,20043
50,11,38,Quinta da Rocha S. Gonçalo,0,,18121
59,21,39,Universidade - Fundoa,0,,20043
59,21,40,Centro - Universidade,1,,20044
50,11,41,Centro,1,,18122
59,11,42,,1,,20046
73,11,43,Lombada - Pizo,0,,19901
73,11,44,Centro,1,,19902
73,11,45,Lombada - Pizo,0,,19901
59,21,46,Centro,1,,19530
13,21,47,Centro,1,,19952
40,21,48,Centro,1,,5806
50,13,49,Quinta da Rocha,0,,18123
50,21,50,Quinta da Rocha,0,,18123
50,21,51,Centro,1,,18124
41,13,52,Balancal,0,,19341
41,13,53,Centro,1,,19342
50,23,54,Quinta da Rocha,0,,18123
50,23,55,Centro,1,,18124
41,23,56,Balancal,0,,19341
41,23,57,Centro,1,,19342
39,21,58,Teleférico J. Botanico,0,,17221
38,21,59,Jardim Botânico,0,,20401
15,21,60,Centro,1,,20182
45,22,61,Palheiro Ferreiro Via Ribeiro da Quinta,0,,16901
15,11,62,Centro,1,,20182
24,23,63,Lev. Corujeira - Cº Marcos,0,,18163
15,21,64,Centro,1,,20182
24,23,65,Centro,1,,18164
24,13,66,Lev. Corujeira - Cº Marcos,0,,18163
24,13,67,Centro,1,,18164
17,13,68,Álamos,0,,18141
17,13,69,Centro,1,,10864
17,23,70,Álamos,0,,18141
17,23,71,Centro,1,,10864
29,23,72,Babosas,0,,19781
29,23,73,Centro - D. Carlos I,1,,19782
61,22,74,Centro,1,,13842
11,23,75,Courelas,0,,14021
17,21,76,Álamos,0,,18141
11,23,77,Centro,1,,14022
29,23,78,Babosas,0,,19781
29,23,79,Centro - D. Carlos I,1,,19782
29,13,80,Babosas,0,,19781
29,13,81,Centro - D. Carlos I,1,,19782
11,13,82,Courelas,0,,14021
16,21,83,Jamboto-Courelas Via Viveiros,0,,19741
16,21,84,Centro,1,,19742
16,21,85,Jamboto-Courelas Via Viveiros,0,,19383
75,22,86,Álamos - V. Achada,0,,12701
75,22,87,Centro,1,,12702
12,21,88,Chamorra,0,,17481
17,21,89,Centro,1,,18142
61,22,90,Centro,1,,13842
61,22,91,Três Paus Via Courelas,0,,13841
12,21,92,Centro,1,,17482
61,22,93,Três Paus Via STA Quitéria,0,,16081
61,22,94,Centro,1,,16082
61,22,95,Três Paus Via Courelas,0,,13841
61,22,96,Centro,1,,13842
61,22,97,Três Paus Via STA Quitéria,0,,16081
61,22,98,Centro,1,,16082
61,22,99,Três Paus Via Courelas,0,,13841
61,22,100,Centro,1,,13842
61,22,101,Três Paus Via STA Quitéria,0,,16081
61,22,102,Centro,1,,16082
61,22,103,Três Paus Via Courelas,0,,13841
61,22,104,Centro,1,,13842
61,22,105,Três Paus Via STA Quitéria,0,,16081
61,22,106,Centro,1,,16082
61,22,107,Três Paus Via Courelas,0,,13841
61,22,108,Centro,1,,13842
61,22,109,Três Paus Via STA Quitéria,0,,16081
61,22,110,Centro,1,,16082
61,22,111,Três Paus Via Courelas,0,,13841
61,22,112,Centro,1,,13842
61,22,113,Três Paus Via STA Quitéria,0,,16081
9,22,114,STA Quitéria,0,,19683
9,22,115,STA Quitéria,0,,19683
9,22,116,STA Quitéria,0,,19683
9,22,117,STA Quitéria,0,,19683
9,22,118,STA Quitéria,0,,19683
72,23,119,Ponta da Cruz - Linha Verde,0,,20421
59,23,120,,1,,19522
72,23,121,Ponta da Cruz - Linha Verde,0,,20421
72,23,122,Ponta da Cruz - Linha Verde,0,,20421
29,12,123,Babosas,0,,19781
29,12,124,Centro - D. Carlos I,1,,19782
77,12,125,Romeiras,0,,20163
77,12,126,Praia Formosa,1,,20164
77,12,127,Romeiras,0,,20163
77,12,128,Praia Formosa,1,,20164
16,12,129,Jamboto-Courelas Via Viveiros,0,,19741
16,12,130,Centro,1,,19742
45,12,131,Palheiro Ferreiro Via Ribeiro da Quinta,0,,16901
45,12,132,Centro,1,,16902
8,22,133,Travessa do Pomar,0,,8601
13,12,134,Chamorra Barreira,0,,19951
24,22,135,Centro,1,,18162
24,22,136,Lev. Corujeira - Via Pena,0,,18161
24,22,137,Centro,1,,18162
55,12,138,Centro,1,,20062
24,22,139,Lev. Corujeira - Via Pena,0,,18161
13,12,140,Chamorra Barreira,0,,19951
59,12,141,Fundoa,0,,18243
8,22,142,Centro,1,,8602
35,12,143,D. João,0,,19441
35,12,144,Centro,1,,19442
24,12,145,Lev. Corujeira - Via Pena,0,,18161
55,12,146,Centro,1,,20062
13,12,147,Chamorra Barreira,0,,19941
13,12,148,Centro,1,,19942
24,12,149,Centro,1,,18162
24,12,150,Lev. Corujeira - Via Pena,0,,18161
24,12,151,Centro,1,,18162
24,12,152,Lev. Corujeira - Via Pena,0,,18161
24,12,153,Centro,1,,18162
13,12,154,Chamorra Barreira,0,,19951
55,12,155,Centro,1,,20062
59,22,156,Centro,1,,19530
55,22,157,Ribeira Grande,0,,20061
9,22,158,STA Quitéria,0,,19683
17,22,159,Álamos,0,,18141
17,22,160,Centro,1,,18142
13,22,161,Chamorra Barreira,0,,19951
9,22,162,Centro,1,,19684
8,12,163,Travessa do Pomar,0,,8601
8,12,164,Centro,1,,8602
55,22,165,Centro,1,,20062
73,22,166,Centro,1,,19902
13,22,167,Chamorra Barreira,0,,19951
55,22,168,Centro,1,,20062
9,12,169,STA Quitéria,0,,19683
13,22,170,Chamorra Barreira,0,,19941
54,22,171,Nazaré Via Virtudes,0,,17981
54,22,172,Centro,1,,17982
13,22,173,Centro,1,,19942
13,22,174,Chamorra Barreira,0,,19951
55,22,175,Centro,1,,20062
13,22,176,Centro,1,,19952
11,13,177,Centro,1,,14022
29,13,178,Babosas,0,,19781
72,22,179,Ponta da Cruz - Linha Verde,0,,20421
29,13,180,Centro - D. Carlos I,1,,19782
11,13,181,Courelas,0,,14021
72,22,182,Ponta da Cruz - Linha Verde,0,,20421
72,22,183,Ponta da Cruz - Linha Verde,0,,20421
59,13,184,Universidade - Fundoa,0,,20045
54,13,185,Nazaré Via Virtudes,0,,17981
48,22,186,ZN Industrial,0,,19981
48,22,187,Centro,1,,19982
56,22,188,S João Latrão,0,,20221
56,22,189,Centro,1,,20222
9,22,190,STA Quitéria,0,,19683
54,13,191,Centro,1,,17982
54,13,192,Nazaré Via Virtudes,0,,17981
54,13,193,Centro,1,,17982
74,22,194,ESCL S Martinho,0,,19881
74,22,195,Centro - Linha Verde,1,,19882
74,22,196,ESCL S Martinho,0,,19881
74,22,197,Centro - Linha Verde,1,,19882
74,22,198,ESCL S Martinho,0,,19881
74,22,199,Centro - Linha Verde,1,,19882
74,22,200,ESCL S Martinho,0,,19881
74,22,201,Centro - Linha Verde,1,,19882
51,13,202,Alegria,0,,20023
51,13,203,Centro,1,,20024
42,13,204,Canto do Muro,0,,20081
42,13,205,Centro,1,,20082
33,13,206,LEV STA Luzia,0,,19321
33,13,207,Centro,1,,19324
74,22,208,Centro - Linha Verde,1,,19882
74,22,209,ESCL S Martinho,0,,19881
74,22,210,Centro - Linha Verde,1,,19882
74,22,211,ESCL S Martinho,0,,19881
74,22,212,Centro - Linha Verde,1,,19882
74,22,213,ESCL S Martinho,0,,19881
74,22,214,Centro - Linha Verde,1,,19882
72,22,215,Ponta da Cruz - Linha Verde,0,,20421
72,22,216,Ponta da Cruz - Linha Verde,0,,20421
72,22,217,Ponta da Cruz - Linha Verde,0,,20421
72,22,218,Ponta da Cruz - Linha Verde,0,,20421
50,13,219,Quinta da Rocha S. Gonçalo,0,,18121
50,13,220,Centro,1,,18122
42,13,221,Canto do Muro,0,,20081
42,13,222,Centro,1,,20082
54,13,223,Nazaré Via Virtudes,0,,17981
74,22,224,ESCL S Martinho,0,,19881
74,22,225,Centro - Linha Verde,1,,19882
74,22,226,ESCL S Martinho,0,,19881
74,22,227,Centro - Linha Verde,1,,19882
74,22,228,ESCL S Martinho,0,,19881
74,22,229,Centro - Linha Verde,1,,19882
74,22,230,ESCL S Martinho,0,,19881
74,22,231,Centro - Linha Verde,1,,19882
54,13,232,Centro,1,,17982
